Load #,Origin,Destination,PU Date,Rate,Weight \ pallet count \ FT,Broker
347762***,"LIVERMORE, CA","Glen Rock, NJ",7/30/2021@1000,"$9,700.00","19plt/ 41,516 lb Wine",
#0079430***,SPARKS NV,FAIRLESS HILLS PA,7/30 @0800-1600,"$7,500.00","10plt/ 11,000 lb",
1047880***,"MERCED, CA","HUNT VALLEY, MD",7/30 @0900,"$7,500.00","45 plt/ 12,419 lb",
800569237****,"Hughson, CA","Myerstown, PA",7/30/2021 13:00,"$8,100.00","7plt/ 12,948 lb",
HNRY900185633***,"ALAMEDA, CA",45531207,7/30/2021@ 16:30:00,"$8,500.00","24plt/ 24,000Lb",HNRY
24050992***,"Reno, NV","Somerset, NJ",07/28/2021 08:00-13:,"$6,400.00","13 pallets 11,104 Lbs",
348195***,"Windsor, CA","Glen Rock, NJ",7/30 @1100,"$9,700.00","41,464 Lb",Dont bill
1047727***,"GILROY, CA","PORT ORANGE, FL",7/27/2021 @12:30:00,"$8,600.00","18 plts/ 22,436 lb",
2496633***,"Modesto, CA","Jonesboro, GA",7/28/2021 @16:00,"$7,250.00","1,165.00 (Chips)",
1047778***,"GILROY, CA","FLOWOOD , MS",7/27 @1200,"$6,200.00","13plt/ 16,201 Lb",
769380***,"SPARKS, NV","WEST PALM BEACH, FL",7/29 @1400,"$7,400.00","12plt/ 4,712 Lb",
HNRY900185590  ***,"HAYWARD, CA","TULSA, OK",7/29 @0800-1700,"$4,990.00","27plt/ 15,000 Lb",HNRY
783052***,"FIREBAUGH, CA","INDEPENDENCE, MO",07/28/2021 13:00,"$5,200.00",26 plt / 18170 lb spices,
783054***,"FIREBAUGH, CA","INDEPENDENCE, MO",07/29/2021 13:00,"$5,200.00",26 plt / 18170 lb spices,
1046568***,"MERCED, CA","KANSAS CITY, MO",07/29/21,"$5,400.00","15 PALLETS 18,000lb",
784144***,"FIREBAUGH, CA","INDEPENDENCE, MO",7/30 @1300,"$5,200.00",26 plt / 18170 lb spices,
787228***,"FIREBAUGH, CA","INDEPENDENCE, MO",08/02/2021 13:00,$150.00,15 pallets 19370 lb,
2495349***,"Visalia, CA","Dayton, NJ",8/4/2021 @14:00:00,$250.00,"7,425.00 lbs",
30339463***,SANTA ROSA. CA,"WICHITA, KS",8/4/2021 13:00-15:00,$150.00,CRATES 60 x 96 x 93 IN,
23996389***,"Lodi, CA","York, PA",08/04/2021 @1615,$150.00,"33,123 Lb",
349673,"Benicia, CA","Glen Rock, NJ",8/6/2021 @12,"$9,600.00",42500 lbs Wine,
TA#:0626478,SANTA CLARA CA,GRAND JUNCTION CO,8/5 @0900-1400,"$3,200.00",4 uhaul,TA :
45665960,SANGER CA,HARRISBURG PA,8/6/2021 @13:00:00,"$8,200.00","29plt/ 33,125 Lb",
787228****,"FIREBAUGH, CA","INDEPENDENCE, MO",08/03/2021 13:00,"$5,200.00",15 pallets 19370 lb,
T2417449***,HAYWARD CA,SULPHUR OK,8/3/2021 1330,"$4,500.00","12 PLT Weight: 5,617",
T2417448***,HAYWARD CA,FAIRFIELD TX,8/3/2021 1330,"$4,600.00","12 PLT Weight: 5,617",
349672***,"Benicia, CA","Glen Rock, NJ",8/5/2021 12:00,"$9,600.00",27plt/ 42500 lbs Wine,
305410***,LIVERMORE CA MINDEN NV,PARAMUS NJ,08-03-2021 10:30-15:,"$8,000.00","4 Skids 3,820lb 7 Crates 4,120lb",
1047923****,"Salinas, CA","Belcamp, MD",8/3/2021 @1700,"$7,600.00","23plts 9,256 lb",
349674***,"Benicia, CA","Glen Rock, NJ",8/5/2021 12:00,"$9,600.00",24plt/ 42500 lbs Wine,
30016577***,ROCKLIN CA,EVERETT MA,08/04/2021 0700,"$8,200.00",4plt/ 5000lb,
T2417477****,HAYWARD CA,MIDDLETOWN DE,8/4/2021 1330,"$8,000.00","12 PLT Weight: 5,617",
2495344****,"Visalia, CA","Breinigsville, PA Dayton, NJ",8/4/2021 @13:00:00,"$8,500.00","25plt 16,000 lbs",
T2417481***,HAYWARD CA,DOVER DE,8/5/2021 1330,"$7,600.00","12 PLT Weight: 5,617",
1323331***,"Sacramento, CA","Mechanicsburg, PA",8/05 @0930,"$8,000.00","39plt/ 30,777 Lb",
45665944***,SANGER CA,HARRISBURG PA,8/5/2021 @13:00:00,"$8,200.00","28 -56plt/ 32,500 Lb",
1048024***,"MERCED, CA","HUNT VALLEY, MD",8/6 @1000,"$7,800.00","45plt/ 12,419 lb",
778881***,"VACAVILLE, CA","SMITHTON, PA",08/06/21 14:00,"$8,000.00","4,199lb Bicycles",
T2417474***,HAYWARD CA,HARRISON OH,8/4/2021 1330,"$6,400.00","12 PLT Weight: 5,617",
39362***,"Los Banos, CA","Bridgeport, NJ",8/52021 06:00-16:00,"$7,800.00","8plt/ 16,000 Lb",
62634***,"RENO, NV","EAU CLAIRE, WI",5/6 @1240,"$5,500.00","19plt/ 8,535 Lb",
62637***,"RENO, NV","PLANO, IL",8/6/2021  @8am,"$5,500.00","20 pallets 8,984 lb",
789018***,"FIREBAUGH, CA","INDEPENDENCE, MO",8/05 @1300,"$5,200.00",26 plt / 18170 lb spices,
T2417478***,HAYWARD CA,LEES SUMMIT MO,8/5/2021 1300,"$4,800.00","12 PLT Weight: 5,617",
6670358***,"FIREBAUGH, CA","BURLESON, TX",8/5/2021 @ 14:30,"$4,400.00",8 plt/16KLB,
SL209566084***,"VISALIA, CA","FORT WORTH, TX",08/06/2021 14:00,"$4,799.00","23 plt 6,253 Lb",
104128***,"SACRAMENTO, CA","GARLAND, TX",08/05/2021 13:00,"$3,000.00","10 skids 16,000lb",
2504737***,"Visalia, CA","Denton, TX",8/6 @1400,"$5,000.00","13plt/ 13,837 Lb",
03-3947506***,"GILROY, CA","GRAND PRAIRIE, TX",08/06/2021 11:30,"$5,000.00",20 pallets 12600lb,
68-ZLP-TSV***,"Sacramento, CA  Petaluma, CA","Clovis, NM  08/16/2021 San Antonio, TX   08/11/2021",8/5/2021 8/6/2021,"$5,900.00",4pallets 10pallets,ZLP TSV
1048128***,"GILROY, CA FIREBAUGH, CA","FREMONT, NE",08/09/21 @0800,"$5,500.00","13plt/ 25,020 lb",
792950***,"FIREBAUGH, CA","INDEPENDENCE, MO",8/9 @1300,"$5,200.00",26 plt / 18170 lb spices,
727758***,"KINGSBURG, CA TERRA BELLA, CA","PETERSBURG, VA",8/10 @1200,"$8,100.00","17plt/ 20,939 Lb",
158234***,"VALLEY MINDEN, NV","BREINIGSVILLE, PA",8/11 @0730am,"$7,736.50","17plt/ 24,631 Lb",
3009306***,"Tracy, CA","Easton, PA",8/9,"$7,600.00","16plt/ 3,952 Lb",
